
name                                          kind      url                                          
----                                          ----      ---                                          
UserStateManagementSettings                   EntitySet UserStateManagementSettings                  
WirelessProfileSettings                       EntitySet WirelessProfileSettings                      
VpnConnectionSettings                         EntitySet VpnConnectionSettings                        
TrustedRootCertificateSettings                EntitySet TrustedRootCertificateSettings               
ClientAuthCertificateSettings                 EntitySet ClientAuthCertificateSettings                
PfxCertificateSettings                        EntitySet PfxCertificateSettings                       
RemoteConnectionSettings                      EntitySet RemoteConnectionSettings                     
WindowsDefenderApplicationGuard               EntitySet WindowsDefenderApplicationGuard              
DeviceGuardSettings                           EntitySet DeviceGuardSettings                          
WindowsUpdateForBusinessConfigurationSettings EntitySet WindowsUpdateForBusinessConfigurationSettings
M365ASettings                                 EntitySet M365ASettings                                
CompliancePolicySettings                      EntitySet CompliancePolicySettings                     
TermsAndConditionsSettings                    EntitySet TermsAndConditionsSettings                   
CommunicationsProvisioningSettings            EntitySet CommunicationsProvisioningSettings           
EditionUpgradeSettings                        EntitySet EditionUpgradeSettings                       
PassportForWorkProfileSettings                EntitySet PassportForWorkProfileSettings               
AdvancedThreatProtectionSettings              EntitySet AdvancedThreatProtectionSettings             
ExploitGuardSettings                          EntitySet ExploitGuardSettings                         
ComplianceNotificationSettings                EntitySet ComplianceNotificationSettings               
WindowsDefenderAntimalwareSettings            EntitySet WindowsDefenderAntimalwareSettings           
FirewallComplianceSettings                    EntitySet FirewallComplianceSettings                   
UacComplianceSettings                         EntitySet UacComplianceSettings                        
AppRestrictionSettings                        EntitySet AppRestrictionSettings                       
MDM_GenericAppConfiguration                   EntitySet MDM_GenericAppConfiguration                  
AfwAppConfigSettings                          EntitySet AfwAppConfigSettings                         
UnManagedApps                                 EntitySet UnManagedApps                                
AllowOrDenyAppsSetting                        EntitySet AllowOrDenyAppsSetting                       
CustomConfigurationSettings                   EntitySet CustomConfigurationSettings                  
CoManagementSettings                          EntitySet CoManagementSettings                         
EdgeBrowserSettings                           EntitySet EdgeBrowserSettings                          
ConfigurationItemLatestBaseClass              EntitySet ConfigurationItemLatestBaseClass             
ConfigurationItemLatest                       EntitySet ConfigurationItemLatest                      
